source,target,target2,value
left-cmd,left-cmd,w,397
return,left-cmd,tab,421
w,left-cmd,left-cmd,433
left-cmd,w,left-cmd,542
a,left-cmd,tab,582
c,left-cmd,left-cmd,586
left-shift,left-shift,left-shift,610
left-cmd,c,left-cmd,683
left-cmd,v,left-cmd,720
tab,tab,left-cmd,810
down,down,down,886
left-cmd,tab,tab,903
tab,left-cmd,a,1057
left-cmd,a,left-cmd,1163
left-cmd,left-cmd,left-cmd,1692
right,right,right,1759
tab,left-cmd,left-cmd,1901
left-cmd,left-cmd,tab,2176
left,left,left,2211
left-cmd,tab,left-cmd,2878
del,del,del,3629
up,up,up,8609
