"Row number","value.0","value.1","value.2","frequency"
"1","left-cmd","left-cmd","left-shift","101"
"2","del","left-shift",";","102"
"3","left-shift","left-shift","left-option","103"
"4","right","return","left-cmd","103"
"5","left-shift","p","left-shift","104"
"6","tab","left-shift","left-cmd","105"
"7","left-shift","left-cmd","a","105"
"8","left-shift","/","left-shift","108"
"9","del","left-shift","left-option","109"
"10","left-cmd","left-cmd","a","109"
"11","left-option","right","right","109"
"12","left-cmd","del","left-cmd","110"
"13","right","right","left-option","110"
"14","left-option","left","left-option","112"
"15","return","return","return","115"
"16","left-shift","del","return","116"
"17","left-cmd","left-cmd","z","117"
"18","left-cmd","x","left-cmd","118"
"19","return","return","left-cmd","119"
"20","z","left-cmd","left-cmd","119"
"21","v","left-cmd","del","120"
"22","return","return","left-shift","121"
"23","left-cmd","b","left-cmd","122"
"24","left-option","left-shift","left-shift","124"
"25","del","return","left-shift","125"
"26","left-shift","a","left-shift","125"
"27","return","left-cmd","v","127"
"28","left-shift","0","left-shift","129"
"29","left-shift","m","left-shift","131"
"30","tab","left-cmd","left-shift","131"
"31","left-option","left-shift","left-option","132"
"32","left-shift","left-option","del","136"
"33","del","left-shift","left-shift","137"
"34","return","left-cmd","c","137"
"35","left-shift","left-option","right","139"
"36","left-shift","s","left-shift","143"
"37","right-shift","right-shift","right-shift","145"
"38","left-option","right","left-option","146"
"39","v","left-cmd","return","147"
"40","left-shift","9","left-shift","147"
"41","s","left-cmd","left-cmd","147"
"42","right","left-option","left-shift","151"
"43","del",".","del","152"
"44","tab","left-shift","tab","152"
"45","del","del","return","153"
"46","tab","tab","left-shift","156"
"47","left-shift","left","left-shift","161"
"48","del","return","return","161"
"49","left-shift","c","left-shift","161"
"50","left-cmd","del","del","164"
"51","left-cmd","s","left-cmd","168"
"52","return","left-cmd","left-cmd","169"
"53","left-shift","'","left-shift","172"
"54","left-shift","del","left-shift","173"
"55","left-shift",";","left-shift","176"
"56","del","left-option","left-shift","188"
"57","left-shift","left-option","left-shift","192"
"58","a","left-cmd","left-cmd","199"
"59","left-cmd","left-cmd","t","204"
"60","left-option","left","left","212"
"61","left-cmd","return","left-cmd","212"
"62","left-shift","del","del","216"
"63","left-shift","t","left-shift","220"
"64","left","left","left-shift","228"
"65","v","left-cmd","left-cmd","232"
"66","del","del","left-cmd","236"
"67","left","left","left-option","236"
"68","del","return","left-cmd","236"
"69","left-shift","left-option","left","237"
"70","left-cmd","z","left-cmd","243"
"71","del","left-cmd","tab","245"
"72","left-cmd","left-cmd","`","262"
"73","left-shift","left","left","263"
"74","`","left-cmd","left-cmd","270"
"75","left-shift","i","left-shift","278"
"76","left","left-option","left-shift","320"
"77","left-cmd","left-cmd","c","339"
"78","left-cmd","`","left-cmd","355"
"79","left-cmd","left-cmd","v","364"
"80","left-cmd","t","left-cmd","376"
"81","left-option","left-shift","left","385"
"82","del","del","left-shift","387"
"83","left","left-shift","left-option","394"
"84","tab","tab","tab","394"
"85","left-cmd","left-cmd","w","397"
"86","return","left-cmd","tab","421"
"87","w","left-cmd","left-cmd","433"
"88","left-cmd","w","left-cmd","542"
"89","a","left-cmd","tab","582"
"90","c","left-cmd","left-cmd","586"
"91","left-shift","left-shift","left-shift","610"
"92","left-cmd","c","left-cmd","683"
"93","left-cmd","v","left-cmd","720"
"94","tab","tab","left-cmd","810"
"95","down","down","down","886"
"96","left-cmd","tab","tab","903"
"97","tab","left-cmd","a","1057"
"98","left-cmd","a","left-cmd","1163"
"99","left-cmd","left-cmd","left-cmd","1692"
"100","right","right","right","1759"
"101","tab","left-cmd","left-cmd","1901"
"102","left-cmd","left-cmd","tab","2176"
"103","left","left","left","2211"
"104","left-cmd","tab","left-cmd","2878"
"105","del","del","del","3629"
"106","up","up","up","8609"
