source,target,value
left-cmd,left-cmd,101
del,left-shift,102
left-shift,left-shift,103
right,return,103
left-shift,p,104
tab,left-shift,105
left-shift,left-cmd,105
del,left-shift,109
left-cmd,left-cmd,109
left-option,right,109
left-cmd,del,110
right,right,110
left-option,left,112
return,return,115
left-shift,del,116
left-cmd,left-cmd,117
left-cmd,x,118
return,return,119
z,left-cmd,119
v,left-cmd,120
return,return,121
left-cmd,b,122
left-option,left-shift,124
del,return,125
left-shift,a,125
return,left-cmd,127
left-shift,m,131
tab,left-cmd,131
left-option,left-shift,132
left-shift,left-option,136
del,left-shift,137
return,left-cmd,137
left-shift,left-option,139
left-shift,s,143
right-shift,right-shift,145
left-option,right,146
v,left-cmd,147
left-shift,9,147
s,left-cmd,147
right,left-option,151
del,.,152
tab,left-shift,152
del,del,153
tab,tab,156
left-shift,left,161
del,return,161
left-shift,c,161
left-cmd,del,164
left-cmd,s,168
return,left-cmd,169
left-shift,',172
left-shift,del,173
left-shift,;,176
del,left-option,188
left-shift,left-option,192
a,left-cmd,199
left-cmd,left-cmd,204
left-option,left,212
left-cmd,return,212
left-shift,del,216
left-shift,t,220
left,left,228
v,left-cmd,232
del,del,236
left,left,236
del,return,236
left-shift,left-option,237
left-cmd,z,243
del,left-cmd,245
left-cmd,left-cmd,262
left-shift,left,263
`,left-cmd,270
left-shift,i,278
left,left-option,320
left-cmd,left-cmd,339
left-cmd,`,355
left-cmd,left-cmd,364
left-cmd,t,376
left-option,left-shift,385
del,del,387
left,left-shift,394
tab,tab,394
left-cmd,left-cmd,397
return,left-cmd,421
w,left-cmd,433
left-cmd,w,542
a,left-cmd,582
c,left-cmd,586
left-shift,left-shift,610
left-cmd,c,683
left-cmd,v,720
tab,tab,810
down,down,886
left-cmd,tab,903
tab,left-cmd,1057
left-cmd,a,1163
left-cmd,left-cmd,1692
right,right,1759
tab,left-cmd,1901
left-cmd,left-cmd,2176
left,left,2211
left-cmd,tab,2878
del,del,3629
up,up,8609
