trigram,frequency
left-cmd >  left-cmd > left-shift,101
del >  left-shift > ;,102
left-shift >  left-shift > left-option,103
right >  return > left-cmd,103
left-shift >  p > left-shift,104
tab >  left-shift > left-cmd,105
left-shift >  left-cmd > a,105
left-shift >  / > left-shift,108
del >  left-shift > left-option,109
left-cmd >  left-cmd > a,109
left-option >  right > right,109
left-cmd >  del > left-cmd,110
right >  right > left-option,110
left-option >  left > left-option,112
return >  return > return,115
left-shift >  del > return,116
left-cmd >  left-cmd > z,117
left-cmd >  x > left-cmd,118
return >  return > left-cmd,119
z >  left-cmd > left-cmd,119
v >  left-cmd > del,120
return >  return > left-shift,121
left-cmd >  b > left-cmd,122
left-option >  left-shift > left-shift,124
del >  return > left-shift,125
left-shift >  a > left-shift,125
return >  left-cmd > v,127
left-shift >  0 > left-shift,129
left-shift >  m > left-shift,131
tab >  left-cmd > left-shift,131
left-option >  left-shift > left-option,132
left-shift >  left-option > del,136
del >  left-shift > left-shift,137
return >  left-cmd > c,137
left-shift >  left-option > right,139
left-shift >  s > left-shift,143
right-shift >  right-shift > right-shift,145
left-option >  right > left-option,146
v >  left-cmd > return,147
left-shift >  9 > left-shift,147
s >  left-cmd > left-cmd,147
right >  left-option > left-shift,151
del >  . > del,152
tab >  left-shift > tab,152
del >  del > return,153
tab >  tab > left-shift,156
left-shift >  left > left-shift,161
del >  return > return,161
left-shift >  c > left-shift,161
left-cmd >  del > del,164
left-cmd >  s > left-cmd,168
return >  left-cmd > left-cmd,169
left-shift >  ' > left-shift,172
left-shift >  del > left-shift,173
left-shift >  ; > left-shift,176
del >  left-option > left-shift,188
left-shift >  left-option > left-shift,192
a >  left-cmd > left-cmd,199
left-cmd >  left-cmd > t,204
left-option >  left > left,212
left-cmd >  return > left-cmd,212
left-shift >  del > del,216
left-shift >  t > left-shift,220
left >  left > left-shift,228
v >  left-cmd > left-cmd,232
del >  del > left-cmd,236
left >  left > left-option,236
del >  return > left-cmd,236
left-shift >  left-option > left,237
left-cmd >  z > left-cmd,243
del >  left-cmd > tab,245
left-cmd >  left-cmd > `,262
left-shift >  left > left,263
` >  left-cmd > left-cmd,270
left-shift >  i > left-shift,278
left >  left-option > left-shift,320
left-cmd >  left-cmd > c,339
left-cmd >  ` > left-cmd,355
left-cmd >  left-cmd > v,364
left-cmd >  t > left-cmd,376
left-option >  left-shift > left,385
del >  del > left-shift,387
left >  left-shift > left-option,394
tab >  tab > tab,394
left-cmd >  left-cmd > w,397
return >  left-cmd > tab,421
w >  left-cmd > left-cmd,433
left-cmd >  w > left-cmd,542
a >  left-cmd > tab,582
c >  left-cmd > left-cmd,586
left-shift >  left-shift > left-shift,610
left-cmd >  c > left-cmd,683
left-cmd >  v > left-cmd,720
tab >  tab > left-cmd,810
down >  down > down,886
left-cmd >  tab > tab,903
tab >  left-cmd > a,1057
left-cmd >  a > left-cmd,1163
left-cmd >  left-cmd > left-cmd,1692
right >  right > right,1759
tab >  left-cmd > left-cmd,1901
left-cmd >  left-cmd > tab,2176
left >  left > left,2211
left-cmd >  tab > left-cmd,2878
del >  del > del,3629
up >  up > up,8609
